Here are the columns and data types for `public.posts`:

| Column | Data Type | Nullable |
|---|---|---|
| `id` | `bigint` | NO |
| `author_id` | `bigint` | NO |
| `title` | `text` | NO |
| `slug` | `text` | NO |
| `body` | `text` | YES |
| `status` | `text` | NO |
| `view_count` | `integer` | NO |
| `published_at` | `timestamp with time zone` | YES |
| `created_at` | `timestamp with time zone` | NO |

9 columns total. The table looks like a blog post schema with `author_id` as a foreign key reference, a `slug` for URL routing, a `status` field (likely draft/published), and separate `published_at` / `created_at` timestamps.
