Here are the columns and data types for `public.posts`:

| Column | Data Type | Nullable | Default |
|---|---|---|---|
| `id` | bigint | NO | — |
| `author_id` | bigint | NO | — |
| `title` | text | NO | — |
| `slug` | text | NO | — |
| `body` | text | YES | — |
| `status` | text | NO | `'draft'` |
| `view_count` | integer | NO | `0` |
| `published_at` | timestamp with time zone | YES | — |
| `created_at` | timestamp with time zone | NO | `now()` |

The table has 9 columns total. Notable details: `status` defaults to `'draft'`, `view_count` defaults to `0`, `created_at` defaults to `now()`, and both `body` and `published_at` are nullable (consistent with draft posts that may not have a body or publish date yet).
