condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,reasoning_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
cli,list_projects,1,claude-sonnet-4-6,2026-06-27T14:37:44.878Z,true,45094,38776,178,0,0.05306279999999999,7.341,2,1,0
cli,list_projects,2,claude-sonnet-4-6,2026-06-27T14:37:55.868Z,true,45286,38875,175,0,0.05360549999999999,7.191,2,1,0
cli,list_projects,3,claude-sonnet-4-6,2026-06-27T14:38:13.847Z,true,45289,44454,175,0,0.021813199999999998,14.422,2,1,0
cli,project_ref,1,claude-sonnet-4-6,2026-06-27T14:38:25.141Z,true,45336,38876,249,0,0.0549958,7.714,2,1,0
cli,project_ref,2,claude-sonnet-4-6,2026-06-27T14:38:36.962Z,true,45129,38777,238,0,0.054153099999999996,7.672,2,1,0
cli,project_ref,3,claude-sonnet-4-6,2026-06-27T14:38:50.072Z,true,45327,44456,242,0,0.0230308,8.43,2,1,0
cli,project_status,1,claude-sonnet-4-6,2026-06-27T14:39:03.179Z,true,45314,38879,314,0,0.0558297,9.965,2,1,0
cli,project_status,2,claude-sonnet-4-6,2026-06-27T14:39:21.758Z,true,46459,44462,434,0,0.0326766,14.772,3,2,1
cli,project_status,3,claude-sonnet-4-6,2026-06-27T14:39:34.679Z,true,45318,44462,274,0,0.023430600000000003,9.242,2,1,0
cli,project_api_url,1,claude-sonnet-4-6,2026-06-27T14:40:00.019Z,true,73400,64157,791,0,0.08741610000000001,20.94,4,3,1
cli,project_api_url,2,claude-sonnet-4-6,2026-06-27T14:40:22.472Z,true,74204,64354,611,0,0.0884172,18.165,4,3,1
cli,project_api_url,3,claude-sonnet-4-6,2026-06-27T14:40:49.988Z,true,74039,69649,706,0,0.0586707,20.246,4,3,1
cli,list_branches,1,claude-sonnet-4-6,2026-06-27T14:41:00.996Z,true,44628,38868,193,0,0.049940399999999996,6.863,2,1,0
cli,list_branches,2,claude-sonnet-4-6,2026-06-27T14:41:10.623Z,true,44617,44440,181,0,0.017934,6.547,2,1,0
cli,list_branches,3,claude-sonnet-4-6,2026-06-27T14:41:23.029Z,true,44420,38769,182,0,0.0491067,8.438,2,1,0
cli,list_secrets,1,claude-sonnet-4-6,2026-06-27T14:41:40.327Z,true,45174,38878,298,0,0.054749400000000004,11.99,2,1,0
cli,list_secrets,2,claude-sonnet-4-6,2026-06-27T14:41:52.060Z,true,44978,38779,278,0,0.0538377,7.802,2,1,0
cli,list_secrets,3,claude-sonnet-4-6,2026-06-27T14:42:08.052Z,true,45193,44460,320,0,0.023385999999999997,11.542,2,1,0
cli,list_edge_functions,1,claude-sonnet-4-6,2026-06-27T14:42:19.065Z,true,44990,38868,226,0,0.0526074,7.345,2,1,0
cli,list_edge_functions,2,claude-sonnet-4-6,2026-06-27T14:42:29.610Z,true,44805,38769,232,0,0.052151699999999995,7.333,2,1,0
cli,list_edge_functions,3,claude-sonnet-4-6,2026-06-27T14:42:42.352Z,true,45001,44440,232,0,0.021008,6.848,2,1,0
cli,list_tables,1,claude-sonnet-4-6,2026-06-27T14:43:03.271Z,true,69553,62234,357,0,0.0687872,16.551,3,2,1
cli,list_tables,2,claude-sonnet-4-6,2026-06-27T14:43:18.986Z,true,69835,62421,396,0,0.0699983,12.194,3,2,1
cli,list_tables,3,claude-sonnet-4-6,2026-06-27T14:43:39.659Z,true,69848,68009,363,0,0.0377297,15.585,3,2,1
cli,query_count_authors,1,claude-sonnet-4-6,2026-06-27T14:43:56.109Z,true,69888,62434,409,0,0.0704072,12.186,3,2,1
cli,query_count_authors,2,claude-sonnet-4-6,2026-06-27T14:44:13.347Z,true,69802,68018,355,0,0.037267400000000006,12.065,3,2,1
cli,query_count_authors,3,claude-sonnet-4-6,2026-06-27T14:44:33.805Z,true,69541,62228,369,0,0.0689144,15.795,3,2,1
cli,query_table_columns,1,claude-sonnet-4-6,2026-06-27T14:44:55.181Z,true,70305,62477,635,0,0.0760761,16.585,3,2,1
cli,query_table_columns,2,claude-sonnet-4-6,2026-06-27T14:45:15.507Z,true,69926,62278,584,0,0.0741514,14.501,3,2,1
cli,query_table_columns,3,claude-sonnet-4-6,2026-06-27T14:45:36.713Z,true,70306,68055,611,0,0.0439075,16.487,3,2,1
cli,query_fk_relationships,1,claude-sonnet-4-6,2026-06-27T14:45:58.745Z,true,70007,62395,671,0,0.07527850000000001,16.264,3,2,1
cli,query_fk_relationships,2,claude-sonnet-4-6,2026-06-27T14:46:19.300Z,true,70241,62573,638,0,0.0751829,14.491,3,2,1
cli,query_fk_relationships,3,claude-sonnet-4-6,2026-06-27T14:46:39.098Z,true,70239,68150,638,0,0.043377000000000006,15.744,3,2,1
mcp,list_projects,1,claude-sonnet-4-6,2026-06-27T14:59:48.678Z,true,44849,38087,366,0,0.0583261,10.921,3,1,0
mcp,list_projects,2,claude-sonnet-4-6,2026-06-27T15:00:03.472Z,true,44869,38100,351,0,0.058142,10.74,3,1,0
mcp,list_projects,3,claude-sonnet-4-6,2026-06-27T15:00:18.278Z,true,44865,43132,357,0,0.0295306,10.651,3,1,0
mcp,project_ref,1,claude-sonnet-4-6,2026-06-27T15:00:33.296Z,true,44445,38113,370,0,0.0558099,10.673,3,1,0
mcp,project_ref,2,claude-sonnet-4-6,2026-06-27T15:00:48.255Z,true,44461,38124,354,0,0.0555982,11.53,3,1,0
mcp,project_ref,3,claude-sonnet-4-6,2026-06-27T15:01:04.179Z,true,44463,43168,370,0,0.0271044,12.407,3,1,0
mcp,project_status,1,claude-sonnet-4-6,2026-06-27T15:01:27.038Z,true,61859,54748,486,0,0.06721940000000001,14.711,4,1,0
mcp,project_status,2,claude-sonnet-4-6,2026-06-27T15:01:40.202Z,true,44442,43155,394,0,0.0274205,9.404,3,1,0
mcp,project_status,3,claude-sonnet-4-6,2026-06-27T15:01:55.071Z,true,44430,43156,357,0,0.0267878,10.427,3,1,0
mcp,project_api_url,1,claude-sonnet-4-6,2026-06-27T15:02:25.868Z,false,45120,38318,508,0,0.06077239999999999,15.166,4,2,0
mcp,project_api_url,2,claude-sonnet-4-6,2026-06-27T15:02:59.420Z,false,45078,38294,466,0,0.0600272,12.712,4,2,0
mcp,project_api_url,3,claude-sonnet-4-6,2026-06-27T15:03:25.002Z,false,45118,43366,487,0,0.0316718,12.956,4,2,0
mcp,list_branches,1,claude-sonnet-4-6,2026-06-27T15:03:42.541Z,true,44266,38103,270,0,0.053279900000000005,13.373,3,1,0
mcp,list_branches,2,claude-sonnet-4-6,2026-06-27T15:03:55.314Z,true,44222,43118,244,0,0.024040399999999996,9.001,3,1,0
mcp,list_branches,3,claude-sonnet-4-6,2026-06-27T15:04:08.024Z,true,44262,43424,264,0,0.022836199999999997,8.353,3,1,0
mcp,list_secrets,1,claude-sonnet-4-6,2026-06-27T15:04:33.144Z,false,61458,53897,945,0,0.0765381,20.938,4,0,0
mcp,list_secrets,2,claude-sonnet-4-6,2026-06-27T15:05:22.711Z,false,96183,87153,1334,0,0.1011629,32.784,6,2,0
mcp,list_secrets,3,claude-sonnet-4-6,2026-06-27T15:05:49.976Z,false,44673,43023,739,0,0.0347389,18.073,3,0,0
mcp,list_edge_functions,1,claude-sonnet-4-6,2026-06-27T15:06:03.113Z,true,44650,38109,353,0,0.0568147,9.418,3,1,0
mcp,list_edge_functions,2,claude-sonnet-4-6,2026-06-27T15:06:16.246Z,true,44643,43143,350,0,0.028013899999999998,9.804,3,1,0
mcp,list_edge_functions,3,claude-sonnet-4-6,2026-06-27T15:06:30.983Z,true,44623,38093,351,0,0.0566939,9.923,3,1,0
mcp,list_tables,1,claude-sonnet-4-6,2026-06-27T15:06:47.206Z,true,44853,38227,520,0,0.059866100000000005,12.559,3,1,0
mcp,list_tables,2,claude-sonnet-4-6,2026-06-27T15:07:01.658Z,true,44846,43666,512,0,0.028706799999999998,10.903,3,1,0
mcp,list_tables,3,claude-sonnet-4-6,2026-06-27T15:07:16.657Z,true,44784,38193,495,0,0.0592709,11.209,3,1,0
mcp,query_count_authors,1,claude-sonnet-4-6,2026-06-27T15:07:34.294Z,true,44698,38182,390,0,0.0572276,12.665,3,1,0
mcp,query_count_authors,2,claude-sonnet-4-6,2026-06-27T15:07:51.075Z,true,44698,43236,397,0,0.0285248,11.273,3,1,0
mcp,query_count_authors,3,claude-sonnet-4-6,2026-06-27T15:08:04.720Z,true,44683,38171,392,0,0.057240299999999994,10.691,3,1,0
mcp,query_table_columns,1,claude-sonnet-4-6,2026-06-27T15:08:24.932Z,true,45025,38188,644,0,0.0629574,15.74,3,1,0
mcp,query_table_columns,2,claude-sonnet-4-6,2026-06-27T15:08:41.183Z,true,44977,43207,572,0,0.033001100000000005,11.452,3,1,0
mcp,query_table_columns,3,claude-sonnet-4-6,2026-06-27T15:08:58.708Z,true,44945,38141,604,0,0.0621653,12.235,3,1,0
mcp,query_fk_relationships,1,claude-sonnet-4-6,2026-06-27T15:09:35.467Z,true,96176,87433,1467,0,0.10152189999999998,29.365,6,3,0
mcp,query_fk_relationships,2,claude-sonnet-4-6,2026-06-27T15:10:04.637Z,true,61088,53931,816,0,0.0721803,23.377,4,2,0
mcp,query_fk_relationships,3,claude-sonnet-4-6,2026-06-27T15:10:40.615Z,true,78490,75451,1424,0,0.0630503,30.872,5,3,0
axi,list_projects,1,claude-sonnet-4-6,2026-06-27T17:11:13.263Z,true,92373,84832,563,0,0.08018259999999999,20.698,4,3,0
axi,list_projects,2,claude-sonnet-4-6,2026-06-27T17:11:45.381Z,true,116111,114045,702,0,0.0581735,25.949,5,4,0
axi,list_projects,3,claude-sonnet-4-6,2026-06-27T17:12:09.108Z,true,91280,84532,574,0,0.0754996,19.028,4,3,0
axi,project_ref,1,claude-sonnet-4-6,2026-06-27T17:12:31.293Z,true,91902,84997,542,0,0.0760621,18.522,4,3,0
axi,project_ref,2,claude-sonnet-4-6,2026-06-27T17:13:00.487Z,true,141231,138825,697,0,0.0675355,25.283,6,5,1
axi,project_ref,3,claude-sonnet-4-6,2026-06-27T17:13:25.914Z,true,92504,90789,449,0,0.0452647,16.782,4,3,0
axi,project_status,1,claude-sonnet-4-6,2026-06-27T17:14:06.945Z,true,167931,164926,1290,0,0.08786479999999999,37.485,9,8,1
axi,project_status,2,claude-sonnet-4-6,2026-06-27T17:14:43.316Z,true,117892,115513,1092,0,0.0663209,31.372,7,6,1
axi,project_status,3,claude-sonnet-4-6,2026-06-27T17:15:20.998Z,true,141085,133098,1132,0,0.1058414,33.26,8,7,1
axi,project_api_url,1,claude-sonnet-4-6,2026-06-27T17:15:45.930Z,true,68496,61888,684,0,0.0694964,20.69,3,2,0
axi,project_api_url,2,claude-sonnet-4-6,2026-06-27T17:16:21.512Z,true,141844,133235,927,0,0.10654250000000001,30.024,6,5,0
axi,project_api_url,3,claude-sonnet-4-6,2026-06-27T17:16:36.120Z,true,45214,44892,290,0,0.020774599999999997,10.777,2,1,0
axi,list_branches,1,claude-sonnet-4-6,2026-06-27T17:16:46.453Z,true,44878,38981,193,0,0.0509723,7.032,2,1,0
axi,list_branches,2,claude-sonnet-4-6,2026-06-27T17:16:56.932Z,true,45072,39080,189,0,0.051512,7.085,2,1,0
axi,list_branches,3,claude-sonnet-4-6,2026-06-27T17:17:08.176Z,true,45074,44864,192,0,0.018600199999999997,8.205,2,1,0
axi,list_secrets,1,claude-sonnet-4-6,2026-06-27T17:17:25.487Z,true,45111,39090,205,0,0.051948999999999995,6.627,2,1,0
axi,list_secrets,2,claude-sonnet-4-6,2026-06-27T17:17:43.609Z,true,44886,38991,178,0,0.050758300000000006,7.515,2,1,0
axi,list_secrets,3,claude-sonnet-4-6,2026-06-27T17:17:58.841Z,true,45085,44884,180,0,0.0183922,6.609,2,1,0
axi,list_edge_functions,1,claude-sonnet-4-6,2026-06-27T17:18:16.834Z,true,44858,38981,165,0,0.0504323,8.368,2,1,0
axi,list_edge_functions,2,claude-sonnet-4-6,2026-06-27T17:18:34.742Z,true,45056,39080,165,0,0.051056,8.476,2,1,0
axi,list_edge_functions,3,claude-sonnet-4-6,2026-06-27T17:18:52.797Z,true,44858,44854,165,0,0.0169612,7.061,2,1,0
axi,list_tables,1,claude-sonnet-4-6,2026-06-27T17:19:03.642Z,true,45164,39086,242,0,0.05285079999999999,6.728,2,1,0
axi,list_tables,2,claude-sonnet-4-6,2026-06-27T17:19:15.882Z,true,45177,44876,255,0,0.020115799999999996,8.035,2,1,0
axi,list_tables,3,claude-sonnet-4-6,2026-06-27T17:19:26.577Z,true,44946,38987,222,0,0.0518021,7.161,2,1,0
axi,query_count_authors,1,claude-sonnet-4-6,2026-06-27T17:19:36.854Z,true,45167,39091,230,0,0.052640299999999994,6.417,2,1,0
axi,query_count_authors,2,claude-sonnet-4-6,2026-06-27T17:19:48.659Z,true,44947,38992,205,0,0.051509599999999996,7.722,2,1,0
axi,query_count_authors,3,claude-sonnet-4-6,2026-06-27T17:20:04.877Z,true,45171,44886,234,0,0.0196828,11.844,2,1,0
axi,query_table_columns,1,claude-sonnet-4-6,2026-06-27T17:20:17.101Z,true,45299,39088,412,0,0.0561914,7.937,2,1,0
axi,query_table_columns,2,claude-sonnet-4-6,2026-06-27T17:20:30.324Z,true,45269,44880,363,0,0.022261999999999997,9.031,2,1,0
axi,query_table_columns,3,claude-sonnet-4-6,2026-06-27T17:20:43.430Z,true,45104,38989,415,0,0.0556207,8.93,2,1,0
axi,query_fk_relationships,1,claude-sonnet-4-6,2026-06-27T17:21:00.980Z,true,45363,39091,443,0,0.057011299999999994,12.335,2,1,0
axi,query_fk_relationships,2,claude-sonnet-4-6,2026-06-27T17:21:13.838Z,true,45349,44886,428,0,0.0236758,8.804,2,1,0
